work_id	title	favorites_count
11088	ＡＫＩＲＡ	61364
10821	Dragon’s Heaven	3336
20167	おそ松くん	7029
20157	シティーハンター2	25541
22195	トップをねらえ！	32789
23518	トッポ・ジージョ	1533
11490	トランスフォーマー ザ☆ヘッドマスターズ	3207
11491	トランスフォーマー 超神マスターフォース	2824
23724	はれときどきぶた	4704
11348	ぴーひょろ一家	1726
26166	ビックリマン きらきら特別増刊号	763
26167	ビックリマン ロココ＆マリア奇跡	908
24699	ビックリマン　第一次聖魔大戦	1897
24700	ビックリマン　無縁ゾーンの秘宝	1329
23305	ビリ犬	502
10165	プロジェクトA子2 大徳寺財閥の陰謀	1668
10166	プロジェクトA子3 シンデレララプソディ	1606
10442	レイナ剣狼伝説Ⅰ	2302
10441	レイナ剣狼伝説Ⅱ	1253
27794	レモン白書	2486
10012	宇宙皇子(劇場版)(地上編)	3212
26189	魁!!男塾	10267
11285	鎧伝サムライトルーパー	7264
23239	機甲猟兵メロウリンク	3274
10249	機動警察パトレイバー　アーリーデイズ	23768
20287	吸血姫美夕(1988)	8550
20143	銀河英雄伝説　外伝1	13449
20144	銀河英雄伝説　本伝・第1期	35938
20186	小公子セディ	2666
24108	新グリム名作劇場	2461
24706	聖闘士星矢　真紅の少年伝説	1844
24705	聖闘士星矢　神々の熱き戦い	1769
28546	装甲騎兵ボトムズ レッドショルダードキュメント 野望のルーツ	1655
10634	超音戦士 ボーグマン	3941
26155	闘将!!拉麺男	2300
11271	魔神英雄伝ワタル	17473
23530	夢見るトッポ・ジージョ	765
11327	冥王計画ゼオライマー	11005
20908	名門！第三野球部	2807
11324	竜世紀	1487
