work_id	title	favorites_count
11557	あしたのジョー２	6839
23333	がんばれ!!タブチくん!!　第2弾　激闘ペナントレース	1242
23576	サイボーグ009 超銀河伝説	4628
21479	タイムボカンシリーズ　タイムパトロール隊オタスケマン	1908
20246	トム・ソーヤーの冒険	3844
23235	とんでも戦士ムテキング	1707
11532	ニルスのふしぎな旅	3593
26114	のどか森の動物大作戦	149
24076	フウムーン	698
10487	ふたごのモンチッチ	362
23914	まことちゃん	1707
23365	ムーの白鯨	2170
10370	メーテルリンクの青い鳥 チルチルミチルの冒険旅行	523
10371	メーテルリンクの青い鳥　チルチルミチルの冒険旅行-総集編	435
28386	ヤマトよ永遠に	1441
28382	宇宙戦艦ヤマトⅢ	2698
10137	宇宙戦士 バルディオス	4232
11089	怪物くん	3810
27240	銀河鉄道999　ガラスのクレア	2262
24518	銀河鉄道999　永遠の旅人エメラルダス	4226
24519	銀河鉄道999　君は母のように愛せるか！！	3587
11301	湘南爆走族	10917
23491	森の陽気な小人たち　ベルフィーとリルビット	765
10309	太陽の使者 鉄人28号	2344
24921	地球へ…（劇場版）	5248
20313	釣りキチ三平	2126
10918	鉄腕アトム（1980）	2788
11578	伝説巨神イデオン	16865
23335	坊っちゃん	1019
