work_id	title	favorites_count
10687	「住めば都のコスモス荘　すっとこ大戦ドッコイダー」	3156
11453	ASTROBOY 鉄腕アトム	5163
11459	ASTROBOY 鉄腕アトム ～特別編：アトム誕生の秘密～	2249
11461	ASTROBOY 鉄腕アトム 特別編：イワンの惑星 ～ロボットと人間の友情～	1801
23598	bps バトルプログラマーシラセ	4694
10044	D・N・ANGEL	13854
10955	D.C.～ダ・カーポ～	19002
28930	DEAD LEAVES	1427
10258	GADGUARD	7685
10086	HAPPY☆LESSON (OVA)	2349
10118	HAPPY☆LESSON ADVANCE	2332
23263	L/R	3006
11076	PAPUWA	6571
10387	PEACE MAKER鐵	11773
23355	SONIC X	5416
23277	TEXHNOLYZE テクノライズ	12208
10312	TRIGUN (トライガン)	33910
10405	あずまんが大王	29564
27535	エアマスター	3235
26255	エイケン　エイケンヴより愛をこめて	3223
26474	おねがい☆ツインズ	6427
10228	がぁ～でぃあんHearts	3249
27986	かっぱまき	186
10243	カレイドスター	19366
20336	カレイドスター　新たなる翼 『笑わない　すごい　お姫様』	6552
10235	ガングレイヴ	14871
10319	ガンスリンガー・ガール	36867
10640	ガンパレード・マーチ　新たなる行軍歌	14045
10002	キノの旅-the Beautiful World-	46557
22951	ギャラクシーエンジェルS	4186
10959	グリーングリーン	9252
10024	クロノクルセイド	12889
28526	げんき げんき ノンタン	527
21454	こちら葛飾区亀有公園前派出所 擬宝珠家ご一行様INハワイアン大パニック	3784
21455	こちら葛飾区亀有公園前派出所 世界ナンバーワンポリス決定戦！	3460
21457	こちら葛飾区亀有公園前派出所THE MOVIE2 UFOの襲来！　トルネード大作戦！！	4807
25031	こちら葛飾区亀有公園前派出所TVスペシャル　爆走列車！網走発東京行き！両津VS拳法バァさん！	2883
11095	サクラ大戦 エコール・ド・巴里	10620
23420	サクラ大戦 帝国歌劇団・花組 2003年新春歌謡ショウ「初笑い七福神」	1124
23421	サクラ大戦 帝国歌劇団・花組 スーパー歌謡ショウ「新宝島」	1105
10163	シスター・プリンセス Re Pure キャラクターズ	3991
10120	スクラップド・プリンセス	14045
26558	ストラトス・フォー	6856
10259	ダイバージェンス・イヴ	3987
23640	ちっちゃな雪使いシュガー特別編	1520
28424	なるたる	8747
21875	はじめの一歩　OVA　間柴vs木村　死刑執行	8421
21876	はじめの一歩　TVスペシャル　～Champion Road～	8475
27793	ふたりエッチ 2nd SEASON	8158
28445	プチプチ・アニメ　ニャッキ！ サクランボ！編	1073
11448	ブラック・ジャック スペシャル～命をめぐる4つの奇跡～	5130
21992	プラネテス	42528
10332	フルメタル・パニック? ふもっふ	34509
10925	ぼくの孫悟空	426
23638	ぽぽたん	3207
22504	ボボボーボ・ボーボボ	63813
23382	ポポロクロイス	4485
25067	マジンカイザー　死闘！暗黒大将軍	2444
10618	まぶらほ[TVシリーズ]	9383
23215	まほろまてぃっく ＴＶスペシャル ～えっちなのはいけないと思います～	3521
11215	モエかん THE　ANIMATION	2032
27340	ヤミと帽子と本の旅人	5202
23995	ラーゼフォン 多元変奏曲	10809
10236	ラストエグザイル	19912
21762	ルパン三世TVSP #15 お宝返却大作戦!!	7316
27445	ロックマンエグゼ アクセス	2648
26991	ワンピース THE MOVIE デッドエンドの冒険	2537
22917	ワンピース 空島・スカイピア編	24548
22922	ワンピース 空島・黄金の鐘編	22471
10324	一騎当千	22448
11034	宇宙のステルヴィア	14087
28946	映画クレヨンしんちゃん　嵐を呼ぶ栄光のヤキニクロード	1185
10169	円盤皇女ワるきゅーレ　十二月の夜想曲	2541
10296	円盤皇女ワるきゅーレSPECIAL ｢七転八倒 花嫁修行｣	2316
24355	魁!!クロマティ高校	13853
21904	京極夏彦　巷説百物語	12948
22578	金色のガッシュベル！！	81088
20128	鋼の錬金術師	102425
22894	獣兵衛忍風帖 龍宝玉篇	3094
11433	真月譚　月姫	45615
10043	神魂合体ゴーダンナー!!	8766
23314	戦争童話集「凧になったお母さん」	782
21352	探偵学園Ｑ	15390
10225	天使のしっぽChu!	2814
11534	天地無用！魎皇鬼 第三期	9819
10299	天罰☆エンジェルラビィ	1325
10464	東京アンダーグラウンド	5084
25367	東京ゴッドファーザーズ	16837
23348	梅四エッキス	127
10257	爆裂天使	9837
10286	魔獣戦線 The Apocalypse	1873
10045	魔探偵ロキ RAGNAROK	10170
22625	明日のナージャ	30834
23262	藍より青し～縁～	8863
