work_id	title	favorites_count
10290	BLOOD THE LAST VAMPIRE	12573
20470	GEAR戦士電童	13536
23250	HAND MAID メイ	4379
11445	OH!スーパーミルクチャン	3728
10896	Refrain Blue	2578
23643	TV版 サクラ大戦	19770
20593	アルジェントソーマ	6075
10599	ヴァンドレッド	11811
22782	おジャ魔女どれみ♯	24945
24684	おジャ魔女どれみ♯（劇場版）	11430
11462	ガラスの地球を救え ユニコ特別編	830
10020	ゲートキーパーズ	8835
21448	こちら葛飾区亀有公園前派出所 オドロキモモノキ島の大決戦	3231
21449	こちら葛飾区亀有公園前派出所 両さん最大の危機！ライバルはチャキチャキ江戸っ娘	4081
27489	コレクター・ユイ デジタルリマスター版 第2シリーズ	4189
23413	サクラ大戦 歌謡ショウ 帝国歌劇団・第4回花組特別公演「アラビアのバラ」	1346
23414	サクラ大戦 帝国歌劇団 新世紀カウントダウン 花組ライブ	1294
10836	ジオブリーダーズ／魍魎遊撃隊２ Ｆｉｌｅ－ＸＸ“乱戦突破”	2001
11463	ジャングル大帝＜オリジナルアニメ＞	1358
23270	ストレンジ ドーン	2026
21478	タイムボカン　2000　怪盗きらめきマン	1429
20599	デジモンアドベンチャー　ぼくらのウォーゲーム！	18362
20905	デジモンアドベンチャー02	25659
20598	デジモンアドベンチャー02 前編 デジモンハリケーン上陸！！ 後編 超絶進化！！黄金のデジメンタル	9235
28354	ニャニがニャンだー ニャンダーかめん	1593
20709	はじめの一歩	27990
24377	ハムスター倶楽部	2003
10711	ブギーポップは笑わない Boogiepop Phantom	18358
28444	プチプチ・アニメ　ニャッキ！ くちぶえ物語編	1942
28442	プチプチ・アニメ　ロボット パルタ パルタたんじょうのひみつ！	719
11464	ブラック・ジャック ＜オリジナルアニメ＞	5334
11449	ブラック・ジャック 空からきた子ども	4549
10624	フリクリ	34542
10834	へっぽこ実験アニメーション｢エクセル・サーガ｣	4913
23881	メーテルレジェンド　交響詩　宿命	3522
22807	メダロット魂	5232
23379	モンスターファーム～伝説への道～	3227
20426	ラブひな	15379
21760	ルパン三世TVSP #12 １＄マネーウォーズ	7013
23142	闇の末裔	12616
28943	映画クレヨンしんちゃん　嵐を呼ぶジャングル	1047
27977	越後の昔ばなし　あったてんがのぉ	209
21082	学校の怪談	31070
10832	銀装騎攻オーディアン	3863
26988	劇場版 ワンピース	1948
10466	幻想魔伝 最遊記	24025
23380	真・女神転生 デビチル デビルチルドレン	8486
24844	真ゲッターロボ対ネオゲッターロボ	5543
20466	星界の戦旗	5017
20294	星界の断章　誕生	3065
20312	星界の紋章　特別編	3107
24520	伝心 まもって守護月天！	10644
23642	無敵王トライゼノン	3190
22358	勇者王ガオガイガーFINAL	19313
21682	遊☆戯☆王 デュエルモンスターズ	57625
