work_id	title	favorites_count
25538	ABシ～ナモン　えいごであそぼ！	554
20331	AIR	64010
23545	AIR IN SUMMER 特別編 後編 あめつち ～universe～	7717
23546	AIR IN SUMMER 特別編 前編 やまみち ～mountain path～	9008
20506	angela live in Shibuya-AX a列車で行こう！全曲ライブ！！	1414
10195	ARIA The ANIMATION	46489
26529	BLACK CAT	18958
10380	BLOOD＋	53867
21624	BUZZER BEATER	6177
11157	capeta	11101
10956	D.C.S.S.～ダ・カーポ セカンドシーズン～	7790
10335	GIRLSブラボー second season	5742
10979	IZUMO　猛き剣の閃記	3107
24279	JAM Project 4th Live VICTORY	463
27713	JINKI:EXTEND	3421
11068	OVA「スクールランブル一学期補習」	7190
11187	Paradise Kiss	15161
10227	RAY THE ANIMATION	2726
10124	SHUFFLE!	25862
10064	SoltyRei	11599
10065	SPEED GRAPHER	12875
10244	ToHeart2	7953
10964	UG★アルティメットガール	2193
23628	ああっ女神さまっ	17573
21245	アイシールド21	43083
10263	あかほり外道アワーらぶげ	1698
28392	アニマル横町	4121
10232	あまえないでよっ!!	9835
24191	いちご100％	24657
21783	イリヤの空、UFOの夏	11257
10633	エンジェル・ハート	21306
10229	がぁ～でぃあんHearts　ぱわーあっぷ	1799
10176	カクレンボ	4628
10292	かみちゅ!	8584
10712	ガラスの仮面	12349
10025	かりん	8405
20335	カレイドスター　～レイラ・ハミルトン物語～	6267
10639	ガン×ソード	42259
29002	きかんしゃトーマス（シリーズ9）	64
10121	キノの旅 何かをするために -Life goes on-/キノの旅 塔の国 -Free Lance-	19994
27640	ギャグマンガ日和	21199
20241	ケロロ軍曹 2ndシーズン	18543
10980	こいこい7	3780
25035	こちら葛飾区亀有公園前派出所TVスペシャル　両さんと忠犬ラッキー物語 亀有大包囲網をかわせ！！	1590
25034	こちら葛飾区亀有公園前派出所TVスペシャル　両津ＶＳ泣き虫アイドル！？日本一周大すごろくゲーム！！	1755
10562	こみっくパーティRevolution	4185
23424	サクラ大戦 帝国歌劇団・花組 2005年新春歌謡ショウ「笑え！花組」	1068
23425	サクラ大戦 帝国歌劇団・花組 スーパー歌謡ショウ「新・青い鳥」	1077
11299	シュガシュガルーン	22334
25070	スーパーロボット大戦 ORIGINAL GENERATION THE ANIMATION	5849
10699	スターシップ・オペレーターズ	8699
26560	ストラトス・フォー アドヴァンス	2430
10161	セイント・ビースト～聖獣降臨編～	2257
28431	ゾイド ジェネシス	3503
24887	そらとぶねこざかな	235
28222	だめっこどうぶつ	4845
24890	たろうのおでかけ	301
24891	たろうのともだち	152
10267	ツバサ・クロニクル（第1シリーズ）	48322
23225	トランスフォーマー ギャラクシーフォース	2927
10620	トリニティ・ブラッド	14953
24886	ねこざかな	504
11424	バジリスク～甲賀忍法帖～	41683
20044	ハチミツとクローバー	20361
20141	ぱにぽにだっしゅ！	15208
25464	ハローキティといっしょ　おかたづけできる	687
25475	ハローキティといっしょ　がまんできるよ	238
25466	ハローキティといっしょ　きちんとおへんじ	243
25469	ハローキティといっしょ　きちんとしょくじ	242
25472	ハローキティといっしょ　げんきにあいさつ	206
25478	ハローキティといっしょ　こうつうあんぜん	209
25476	ハローキティといっしょ　ごめんねいえる	209
25473	ハローキティといっしょ　だいすきおふろ	227
25465	ハローキティといっしょ　たのしいおてつだい	252
25470	ハローキティといっしょ　でんわでおはなし	221
25463	ハローキティといっしょ　トイレにいけるよ	401
25477	ハローキティといっしょ　なかよくあそぼう	214
25467	ハローキティといっしょ　なんでもたべよう	323
25471	ハローキティといっしょ　はみがきしようね	261
25468	ハローキティといっしょ　ひとりでおやすみ	246
25474	ハローキティといっしょ　ひとりできがえ	195
11173	ピーチガール	6969
20861	ふしぎ星の☆ふたご姫	15251
10029	フタコイ オルタナティブ	6805
11177	ふたりはプリキュアMaxHeart	20853
11451	ブラック・ジャック ふたりの黒い医者	5273
10334	フルメタル・パニック!The Second Raid	24512
10391	プレイボール	3824
10393	プレイボール 2nd	3289
10217	プレイヤーズ	804
28216	ペイル・コクーン	9951
20300	まじめにふまじめ かいけつゾロリ	5126
20302	まじめにふまじめ かいけつゾロリ ゼッコーチョー編	2149
22034	まほらば～Heartful days	5607
24888	みんながおしえてくれました	331
23727	やわらか戦車	8456
10038	らいむいろ流奇譚 X CROSS ～恋、オシヘテクダサイ。～	2409
22023	ラムネ	6793
11111	リーンの翼	13523
21763	ルパン三世TVSP #17 天使の策略～夢のカケラは殺しの香り～	7500
20449	ローゼンメイデン・トロイメント	21834
27447	ロックマンエグゼ BEAST	2460
26993	ワンピース THE MOVIE オマツリ男爵と秘密の島	2673
22919	ワンピース ウォーターセブン編	25457
28948	映画クレヨンしんちゃん　伝説を呼ぶブリブリ 3分ポッキリ大進撃	626
22053	映画ふたりはプリキュアＭａｘＨｅａｒｔ	8808
22054	映画ふたりはプリキュアＭａｘＨｅａｒｔ2　雪空のともだち	8985
27607	英國戀物語エマ	7264
10170	円盤皇女ワるきゅーレ 星霊節の花嫁	2404
10982	機動新撰組 萌えよ剣TV	4817
11556	銀牙伝説WEED（ウィード）	7122
24368	銀魂 ジャンプアニメツアー2005&2008	13456
26234	劇場版 AIR	11246
27449	劇場版 ロックマンエグゼ　光と闇の遺産	3146
20633	劇場版 鋼の錬金術師 シャンバラを征く者	39902
25126	劇場版「テニスの王子様 跡部からの贈り物～君に捧げるテニプリ祭り～」	7955
25125	劇場版「テニスの王子様 二人のサムライ The First Game」	8736
21746	交響詩篇エウレカセブン	61306
25021	攻殻機動隊　S.A.C.　2nd GIG　Individual Eleven	18706
25020	攻殻機動隊　STAND ALONE COMPLEX　The Laughing Man	20223
23383	甲虫王者 ムシキング～森の民の伝説～	8286
10083	今日からマ王！　第２シリーズ	18178
10367	最終兵器彼女　Another love song	10588
10103	灼眼のシャナ	63061
10614	菅井君と家族石	946
20469	星界の戦旗Ⅲ	3389
20130	聖闘士星矢 冥王ハーデス冥界編 前章	9230
